Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	3	0	04/24/2014	04/24/2014	EUR	DE	EUR	598117425	0	 	 	 	 	Sports
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	1	0	04/24/2014	04/24/2014	SEK	SE	SEK	598117425	0	 	 	 	 	Sports
APPLE	US	com.magshop.ns.mby.1312.1	 	Mother and Baby 2013-12	 	IA1	1	3.81	04/24/2014	04/24/2014	AUD	AU	AUD	645412246	5.99	 	MAG0354	 	 	Lifestyle
APPLE	US	com.magshop.ns.new.months.1.1	 	NW Subscription_200_30	 	IAY	3	0	04/24/2014	04/24/2014	AUD	AU	AUD	575081143	0	 	MAG0369	New	1 Month	Entertainment
APPLE	US	MAG0043	PBL MEDIA PTY LTD.	Auto Action Magazine Australia	1.3.5	7F	1	0	04/24/2014	04/24/2014	USD	US	USD	639980943	0	 	 	 	 	Sports
APPLE	US	com.magshop.ns.fbf.1401.1	 	4x4 1401	 	IA1	1	5.24	04/24/2014	04/24/2014	NZD	NZ	NZD	645796996	7.49	 	MAG0004	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.2012.december	 	GT December 2012 Issue	 	IA1	1	4.2	04/24/2014	04/24/2014	USD	US	USD	469315687	5.99	 	ACPGT001	 	 	Food & Drink
APPLE	US	com.magshop.ns.dol.1211.1	 	Dolly 1211	 	IA1	1	3.18	04/24/2014	04/24/2014	AUD	AU	AUD	642300242	4.99	 	MAG0184	 	 	Lifestyle
APPLE	US	ACP003	PBL MEDIA PTY LTD.	The Australian Women's Weekly	1.10.0	7T	98	0	04/24/2014	04/24/2014	AUD	AU	AUD	384025506	0	 	 	 	 	Entertainment
APPLE	US	MAG0204.1	PBL MEDIA PTY LTD.	Empire Australasia	1.3.8	1F	5	0	04/24/2014	04/24/2014	GBP	GB	GBP	823231884	0	 	 	 	 	Entertainment
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	4	0	04/24/2014	04/24/2014	USD	US	USD	661038898	0	 	 	 	 	Education
APPLE	US	au.com.acpmagazines.aww.subscriptions.1year	 	AWW Paid Subscription_600_365	 	IAY	1	0	04/24/2014	04/24/2014	NZD	NZ	NZD	471822135	0	 	ACP003	New	1 Year	Entertainment
APPLE	US	com.magshop.you.1406.1	 	Yours 1406	 	IA1	1	2.41	04/24/2014	04/24/2014	AUD	AU	AUD	838633729	3.79	 	MAG0001	 	 	Lifestyle
APPLE	US	MAG0001	PBL MEDIA PTY LTD.	Magshop	2.4.1	7F	23	0	04/24/2014	04/24/2014	AUD	AU	AUD	378036778	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.zoo.1346.1	 	ZOO Weekly 1346	 	IA1	1	1.58	04/24/2014	04/24/2014	AUD	AU	AUD	664943881	2.49	 	MAG0553	 	 	Entertainment
